Label,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Nan
192.168.1.4-45.32.9.1-502-57156-6,192.168.1.4,502,45.32.9.1,57156,6,04/01/2021 06:29:40 PM,543,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3683.241252302026,543.0,0.0,543.0,543.0,543.0,543.0,0.0,543.0,543.0,0,0,0,0,0,0,0,0,0,64,0,3683.241252302026,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,510,0,0,32,0,0,0,0,1.60978138078858E15,0.0,1.60978138078858E15,1.60978138078858E15,NeedManualLabel
45.32.9.1-192.168.1.4-57496-102-6,45.32.9.1,57496,192.168.1.4,102,6,04/01/2021 06:29:51 PM,267668,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.943885709162096,89222.66666666666,154208.23959935908,267287.0,158.0,267668.0,133834.0,188954.4882822316,267445.0,223.0,0,0,0,0,0,0,0,0,0,104,40,11.207914281871572,3.735971427290524,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,65160,0,32,0,0,0,0,1.609781391633956E15,0.0,1.609781391633956E15,1.609781391633956E15,NeedManualLabel
192.168.1.7-192.168.1.4-38600-102-6,192.168.1.7,38600,192.168.1.4,102,6,04/01/2021 05:57:25 PM,5759,8,7,80.0,69.0,33.0,0.0,10.0,14.132030488018545,27.0,0.0,9.857142857142858,12.469009201864855,25872.547317242577,2604.618857440528,411.3571428571429,395.65050761476874,1434.0,0.0,5759.0,822.7142857142857,595.6354350007826,1846.0,0.0,4161.0,693.5,503.69187009520016,1320.0,194.0,0,0,0,0,264,232,1389.130057301615,1215.488800138913,0.0,33.0,9.3125,12.71072381888616,161.5625,0,2,0,6,14,0,0,0,0.0,9.933333333333334,10.0,9.857142857142858,0,0,0,149,6,50870,0,5,0,4,64240,509,3,32,0,0,0,0,1.609779445331679E15,0.0,1.609779445331679E15,1.609779445331679E15,NeedManualLabel
82.53.128.61-192.168.1.4-49254-502-6,82.53.128.61,49254,192.168.1.4,502,6,04/01/2021 07:37:01 PM,51476949,4,2,93.0,0.0,93.0,0.0,23.25,46.5,0.0,0.0,0.0,0.0,1.8066338780101363,0.11655702438775073,1.02953898E7,2.2984205986603513E7,5.141076E7,248.0,5.1476949E7,1.7158983E7,2.9663138813670766E7,5.1411008E7,3107.0,65816.0,65816.0,0.0,65816.0,65816.0,0,0,0,0,136,72,0.07770468292516715,0.038852341462583574,0.0,93.0,13.285714285714288,35.150695989858136,1235.5714285714287,1,2,0,1,5,0,0,0,0.0,15.5,23.25,0.0,0,0,0,0,0,0,0,15,0,0,64240,509,1,32,66189.0,0.0,66189.0,66189.0,8.048927363451765E14,1.1382901512891465E15,1.609785421279593E15,5.141076E7,NeedManualLabel
82.53.128.61-192.168.1.4-49268-102-6,82.53.128.61,49268,192.168.1.4,102,6,04/01/2021 07:37:55 PM,11166059,4,2,93.0,0.0,93.0,0.0,23.25,46.5,0.0,0.0,0.0,0.0,8.328811445470599,0.537342673901329,2233211.8,4932913.326149842,1.1057075E7,55.0,1.1166059E7,3722019.6666666665,6352624.367329326,1.105713E7,117.0,108812.0,108812.0,0.0,108812.0,108812.0,0,0,0,0,136,72,0.35822844926755265,0.17911422463377633,0.0,93.0,13.285714285714288,35.150695989858136,1235.5714285714287,1,2,0,1,5,0,0,0,0.0,15.5,23.25,0.0,0,0,0,0,0,0,0,15,0,0,64240,509,1,32,108984.0,0.0,108984.0,108984.0,8.04892743423086E14,1.1382902183675508E15,1.609785475789097E15,1.1057075E7,NeedManualLabel
71.6.167.124-192.168.1.4-40548-502-6,71.6.167.124,40548,192.168.1.4,502,6,04/01/2021 08:24:14 PM,376144,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,127.61070228423158,21.268450380705264,53734.85714285714,90120.84580426547,186332.0,191.0,376144.0,94036.0,108037.9799792647,189950.0,226.0,188805.0,94402.5,128658.7859436735,185378.0,3427.0,0,0,0,0,168,104,13.29278148794079,7.975668892764474,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788254152653E15,0.0,1.609788254152653E15,1.609788254152653E15,NeedManualLabel
71.6.167.124-192.168.1.4-54618-102-6,71.6.167.124,54618,192.168.1.4,102,6,04/01/2021 08:24:14 PM,569815,6,5,47.0,49.0,25.0,0.0,7.833333333333334,12.17237309100681,27.0,0.0,9.8,13.535139452550904,168.47573335205288,19.30451111325606,56981.5,91466.17963093122,190651.0,44.0,569815.0,113963.0,103864.35549311418,191218.0,158.0,380510.0,95127.5,109460.83459240875,190853.0,168.0,0,0,0,0,200,168,10.529733334503305,8.774777778752753,0.0,27.0,8.000000000000002,11.885820429096482,141.27272727272728,1,2,0,4,10,0,0,0,0.0,8.727272727272727,7.833333333333333,9.8,0,0,0,96,4,501,0,4,0,4,64240,509,2,32,0,0,0,0,1.609788254153797E15,0.0,1.609788254153797E15,1.609788254153797E15,NeedManualLabel
71.6.167.124-192.168.1.4-40556-502-6,71.6.167.124,40556,192.168.1.4,502,6,04/01/2021 08:24:14 PM,379997,5,3,11.0,48.0,11.0,0.0,2.2,4.919349550499537,48.0,0.0,16.0,27.712812921102035,155.26438366618686,21.052797785245673,54285.28571428572,91185.65216581368,188137.0,155.0,379997.0,94999.25,109508.33792418122,192065.0,155.0,191453.0,95726.5,130087.14164167033,187712.0,3741.0,0,0,0,0,168,104,13.157998615778547,7.894799169467128,0.0,48.0,6.555555555555555,15.961759858417171,254.77777777777774,1,2,0,2,7,0,0,0,0.0,7.375,2.2,16.0,0,0,0,0,0,0,0,1,0,6,64240,509,1,32,0,0,0,0,1.609788254529074E15,0.0,1.609788254529074E15,1.609788254529074E15,NeedManualLabel
71.6.167.124-192.168.1.4-54628-102-6,71.6.167.124,54628,192.168.1.4,102,6,04/01/2021 08:24:14 PM,940840,8,9,113.0,583.0,33.0,0.0,14.125,15.541993804804177,381.0,0.0,64.77777777777779,128.46086736607552,739.7644657965222,18.068959653075975,58802.5,89806.91142445552,195376.0,48.0,940840.0,134405.7142857143,91565.59564362276,195600.0,109.0,745338.0,93167.24999999999,99393.45943377906,186691.0,146.0,0,0,0,0,264,296,8.503039836741635,9.56591981633434,0.0,381.0,38.66666666666667,92.72286347910479,8597.529411764704,1,2,0,8,16,0,0,0,1.0,40.94117647058823,14.125,64.77777777777777,0,0,0,696,8,1242,0,6,0,34,64240,509,4,32,0,0,0,0,1.609788254724685E15,0.0,1.609788254724685E15,1.609788254724685E15,NeedManualLabel
71.6.167.124-192.168.1.4-40564-502-6,71.6.167.124,40564,192.168.1.4,502,6,04/01/2021 08:24:14 PM,766603,7,7,32.0,27.0,11.0,0.0,4.571428571428572,5.711308748355986,9.0,0.0,3.857142857142857,4.810702354423639,76.96291300712363,18.262386137283574,58969.461538461546,90553.84224833256,191290.0,176.0,766603.0,127767.16666666666,98831.90386391769,193617.0,184.0,574907.0,95817.83333333334,102274.08977334712,189573.0,2073.0,0,0,0,0,232,232,9.131193068641787,9.131193068641787,0.0,11.0,3.9333333333333336,5.020908663730481,25.209523809523805,1,2,0,6,13,0,0,0,1.0,4.214285714285714,4.571428571428571,3.857142857142857,0,0,0,59,6,153,0,2,0,1,64240,509,3,32,0,0,0,0,1.609788254909688E15,0.0,1.609788254909688E15,1.609788254909688E15,NeedManualLabel
71.6.167.124-192.168.1.4-40576-502-6,71.6.167.124,40576,192.168.1.4,502,6,04/01/2021 08:24:15 PM,380347,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,126.20054844655013,21.03342474109169,54335.28571428571,91295.96034457436,188271.0,168.0,380347.0,95086.75,109594.60710082104,191981.0,168.0,191576.0,95788.0,130486.65697304074,188056.0,3520.0,0,0,0,0,168,104,13.145890463182305,7.887534277909383,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788255675921E15,0.0,1.609788255675921E15,1.609788255675921E15,NeedManualLabel
71.6.167.124-192.168.1.4-40580-502-6,71.6.167.124,40580,192.168.1.4,502,6,04/01/2021 08:24:16 PM,377852,5,3,11.0,48.0,11.0,0.0,2.2,4.919349550499537,48.0,0.0,16.0,27.712812921102035,156.14579253252595,21.172310851867927,53978.857142857145,90757.5530804068,188255.0,135.0,377852.0,94463.0,108885.6078613392,191818.0,135.0,189190.0,94595.0,129008.80380036085,185818.0,3372.0,0,0,0,0,168,104,13.232694282417453,7.939616569450473,0.0,48.0,6.555555555555555,15.961759858417171,254.77777777777774,1,2,0,2,7,0,0,0,0.0,7.375,2.2,16.0,0,0,0,0,0,0,0,1,0,6,64240,509,1,32,0,0,0,0,1.60978825605677E15,0.0,1.60978825605677E15,1.60978825605677E15,NeedManualLabel
71.6.167.124-192.168.1.4-40588-502-6,71.6.167.124,40588,192.168.1.4,502,6,04/01/2021 08:24:16 PM,381513,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,125.81484772471711,20.969141287452853,54501.857142857145,91649.47316893238,188812.0,182.0,381513.0,95378.25,109884.97765807966,192271.0,204.0,192157.0,96078.5,131241.13990856678,188880.0,3277.0,0,0,0,0,168,104,13.105713304658034,7.8634279827948195,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788256432367E15,0.0,1.609788256432367E15,1.609788256432367E15,NeedManualLabel
71.6.167.124-192.168.1.4-40592-502-6,71.6.167.124,40592,192.168.1.4,502,6,04/01/2021 08:24:16 PM,371937,5,3,11.0,48.0,11.0,0.0,2.2,4.919349550499537,48.0,0.0,16.0,27.712812921102035,158.62901512890622,21.50901900052966,53133.85714285714,89325.01775431966,183940.0,186.0,371937.0,92984.25,107140.15445939648,187414.0,187.0,187522.0,93761.0,127948.14362858103,184234.0,3288.0,0,0,0,0,168,104,13.443136875331037,8.065882125198621,0.0,48.0,6.555555555555555,15.961759858417171,254.77777777777774,1,2,0,2,7,0,0,0,0.0,7.375,2.2,16.0,0,0,0,0,0,0,0,1,0,6,64240,509,1,32,0,0,0,0,1.609788256814415E15,0.0,1.609788256814415E15,1.609788256814415E15,NeedManualLabel
71.6.167.124-192.168.1.4-40596-502-6,71.6.167.124,40596,192.168.1.4,502,6,04/01/2021 08:24:17 PM,382720,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,125.41806020066889,20.903010033444815,54674.28571428571,91931.69650473168,189482.0,170.0,382720.0,95680.0,110138.1302940388,192841.0,170.0,192798.0,96399.0,131872.58626416637,189647.0,3151.0,0,0,0,0,168,104,13.06438127090301,7.838628762541806,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788257186922E15,0.0,1.609788257186922E15,1.609788257186922E15,NeedManualLabel
71.6.167.124-192.168.1.4-40606-502-6,71.6.167.124,40606,192.168.1.4,502,6,04/01/2021 08:24:17 PM,373845,5,3,11.0,48.0,11.0,0.0,2.2,4.919349550499537,48.0,0.0,16.0,27.712812921102035,157.81941713811875,21.399243001778814,53406.42857142857,89584.01570194158,184741.0,180.0,373845.0,93461.25,107685.68241994847,188416.0,180.0,189081.0,94540.5,128166.63962396767,185168.0,3913.0,0,0,0,0,168,104,13.374526876111759,8.024716125667055,0.0,48.0,6.555555555555555,15.961759858417171,254.77777777777774,1,2,0,2,7,0,0,0,0.0,7.375,2.2,16.0,0,0,0,0,0,0,0,1,0,6,64240,509,1,32,0,0,0,0,1.60978825756994E15,0.0,1.60978825756994E15,1.60978825756994E15,NeedManualLabel
71.6.167.124-192.168.1.4-40610-502-6,71.6.167.124,40610,192.168.1.4,502,6,04/01/2021 08:24:17 PM,380088,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,126.28654416871883,21.047757361453137,54298.28571428571,91263.87684020858,187915.0,157.0,380088.0,95022.0,109517.84897449365,191517.0,157.0,191737.0,95868.5,130661.31234799381,188260.0,3477.0,0,0,0,0,168,104,13.154848350908212,7.892909010544927,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788257944836E15,0.0,1.609788257944836E15,1.609788257944836E15,NeedManualLabel
71.6.167.124-192.168.1.4-40614-502-6,71.6.167.124,40614,192.168.1.4,502,6,04/01/2021 08:24:18 PM,373289,5,3,11.0,48.0,11.0,0.0,2.2,4.919349550499537,48.0,0.0,16.0,27.712812921102035,158.0544832556009,21.431116373640798,53326.99999999999,89688.95957325702,185374.0,154.0,373289.0,93322.25,107562.08665812503,188803.0,154.0,187485.0,93742.5,127975.72079304731,184235.0,3250.0,0,0,0,0,168,104,13.3944477335255,8.0366686401153,0.0,48.0,6.555555555555555,15.961759858417171,254.77777777777774,1,2,0,2,7,0,0,0,0.0,7.375,2.2,16.0,0,0,0,0,0,0,0,1,0,6,64240,509,1,32,0,0,0,0,1.609788258325432E15,0.0,1.609788258325432E15,1.609788258325432E15,NeedManualLabel
71.6.167.124-192.168.1.4-40624-502-6,71.6.167.124,40624,192.168.1.4,502,6,04/01/2021 08:24:18 PM,373368,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,128.55949090441604,21.42658181740267,53338.28571428571,89622.02964434262,184561.0,151.0,373368.0,93342.0,107562.79507029061,188224.0,151.0,188387.0,94193.5,128310.88940732973,184923.0,3464.0,0,0,0,0,168,104,13.39161363587667,8.034968181526002,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788258699056E15,0.0,1.609788258699056E15,1.609788258699056E15,NeedManualLabel
71.6.167.124-192.168.1.4-40632-502-6,71.6.167.124,40632,192.168.1.4,502,6,04/01/2021 08:24:19 PM,381254,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,125.90031842288869,20.98338640381478,54464.857142857145,91532.56612890768,188625.0,193.0,381254.0,95313.5,109779.13703583817,192228.0,225.0,192091.0,96045.5,131006.38045721284,188681.0,3410.0,0,0,0,0,168,104,13.114616502384237,7.868769901430543,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788259454891E15,0.0,1.609788259454891E15,1.609788259454891E15,NeedManualLabel
71.6.167.124-192.168.1.4-40628-502-6,71.6.167.124,40628,192.168.1.4,502,6,04/01/2021 08:24:19 PM,947285,5,3,11.0,48.0,11.0,0.0,2.2,4.919349550499537,48.0,0.0,16.0,27.712812921102035,62.28326216502953,8.445188090173495,135326.42857142858,209822.09172682234,567018.0,159.0,947285.0,236821.25,237640.36559385975,567018.0,159.0,191743.0,95871.5,130930.0129248447,188453.0,3290.0,0,0,0,0,168,104,5.2782425563584345,3.1669455338150607,0.0,48.0,6.555555555555555,15.961759858417171,254.77777777777774,1,2,0,2,7,0,0,0,0.0,7.375,2.2,16.0,0,0,0,0,0,0,0,1,0,6,64240,509,1,32,0,0,0,0,1.60978825907309E15,0.0,1.60978825907309E15,1.60978825907309E15,NeedManualLabel
71.6.167.124-192.168.1.4-40638-502-6,71.6.167.124,40638,192.168.1.4,502,6,04/01/2021 08:24:19 PM,607199,5,3,11.0,48.0,11.0,0.0,2.2,4.919349550499537,48.0,0.0,16.0,27.712812921102035,97.16748545369803,13.17525226490821,86742.71428571429,107764.39080963354,230012.0,180.0,607199.0,151799.75,103004.00094616065,230012.0,180.0,188640.0,94320.0,127861.87660127626,184732.0,3908.0,0,0,0,0,168,104,8.234532665567631,4.940719599340579,0.0,48.0,6.555555555555555,15.961759858417171,254.77777777777774,1,2,0,2,7,0,0,0,0.0,7.375,2.2,16.0,0,0,0,0,0,0,0,1,0,6,64240,509,1,32,0,0,0,0,1.609788259836439E15,0.0,1.609788259836439E15,1.609788259836439E15,NeedManualLabel
71.6.167.124-192.168.1.4-40642-502-6,71.6.167.124,40642,192.168.1.4,502,6,04/01/2021 08:24:20 PM,659896,5,3,8.0,40.0,8.0,0.0,1.6,3.5777087639996634,40.0,0.0,13.333333333333334,23.094010767585033,72.73873458848061,12.123122431413433,94270.85714285714,120068.61478258806,278246.0,210.0,659896.0,164974.0,117326.01063418688,278246.0,249.0,192407.0,96203.5,131222.75513225593,188992.0,3415.0,0,0,0,0,168,104,7.576951519633396,4.546170911780038,0.0,40.0,5.333333333333333,13.266499161421597,175.99999999999997,1,2,0,2,7,0,0,0,0.0,6.0,1.6,13.333333333333334,0,0,0,0,0,0,0,1,0,5,64240,509,1,32,0,0,0,0,1.609788260214924E15,0.0,1.609788260214924E15,1.609788260214924E15,NeedManualLabel
